ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
316,Troy,33,22,11,.667,-0.76,-4.57,12,6,10,3,9,7,2649,2412,1370,865,1996,.433,239,764,.313,443,633,.700,378,1147,429,229,121,420,557
317,Tulane,33,18,15,.545,-2.50,1.13,8,10,10,8,6,4,2389,2493,1330,853,1946,.438,266,776,.343,521,733,.711,418,1293,473,203,107,392,605
318,Tulsa,33,26,7,.788,11.14,0.78,13,5,13,2,8,4,2824,2409,1335,850,1998,.425,266,810,.328,441,612,.721,345,1077,420,204,99,353,613
319,UAB,32,20,12,.625,3.56,-0.24,11,7,8,9,10,2,2535,2361,1295,854,1978,.432,254,787,.323,399,553,.722,324,1162,430,183,140,379,554
320,UC Davis,33,19,14,.576,-1.09,-1.13,11,9,12,4,6,9,2562,2478,1330,842,1880,.448,243,723,.336,551,751,.734,338,1177,439,215,107,492,669
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
321,UC Irvine,34,23,11,.676,3.65,-1.42,15,5,12,4,7,5,2632,2327,1375,827,2151,.384,271,820,.330,402,569,.707,432,1247,447,226,127,459,616
322,UC Riverside,32,10,22,.313,-7.76,-0.30,5,15,7,7,3,15,2334,2492,1280,887,1883,.471,198,587,.337,520,738,.705,329,1139,439,223,96,357,548
323,UC San Diego,34,23,11,.676,2.32,-1.68,12,8,10,5,8,5,2573,2390,1360,845,2026,.417,283,884,.320,417,580,.719,337,1210,475,207,115,407,558
324,UC Santa Barbara,32,18,14,.563,1.15,-1.82,11,9,11,4,5,8,2483,2328,1300,805,1742,.462,208,618,.337,510,707,.721,258,967,394,227,97,379,582
325,UCF,32,21,11,.656,13.30,10.80,9,9,13,5,5,5,2591,2511,1290,875,1918,.456,259,761,.340,502,676,.743,317,1072,449,190,119,360,552
326,UCLA,34,23,11,.676,18.28,11.55,13,7,17,1,4,6,2643,2414,1375,824,1901,.433,270,849,.318,496,659,.753,364,1115,522,164,103,409,603
327,UNC Asheville,32,15,17,.469,-6.17,-3.89,8,8,9,7,4,9,2349,2334,1295,818,1842,.444,225,688,.327,473,696,.680,337,1075,391,204,87,349,603
328,UNC Greensboro,34,15,19,.441,-11.31,-6.02,9,9,8,6,4,9,2673,2736,1375,969,2094,.463,361,971,.372,437,617,.708,334,1186,485,202,104,322,634
329,UNC Wilmington,32,26,6,.813,2.50,-5.04,15,3,15,3,11,2,2465,2166,1280,750,1847,.406,232,784,.296,434,580,.748,305,1053,350,163,91,328,603
330,UT Arlington,32,18,14,.563,-1.74,-1.70,9,9,9,4,8,8,2240,2134,1295,742,1762,.421,149,558,.267,501,716,.700,324,1017,364,240,109,403,589
331,Utah,32,10,22,.313,6.19,10.94,2,16,8,9,1,10,2379,2531,1285,940,1958,.480,232,661,.351,419,586,.715,348,1121,453,191,140,291,499
332,Utah State,34,28,6,.824,17.36,6.51,15,5,14,1,7,5,2806,2392,1365,800,1888,.424,259,767,.338,533,730,.730,374,1117,400,194,113,483,612
333,Utah Tech,34,19,15,.559,-3.56,-1.30,11,7,11,3,6,10,2612,2548,1395,922,2081,.443,212,702,.302,492,683,.720,411,1220,440,236,86,422,579
334,Utah Valley,33,25,8,.758,5.36,-1.77,14,4,15,0,6,7,2646,2259,1335,768,1852,.415,215,636,.338,508,703,.723,357,1038,406,269,92,501,601
335,UTEP,31,11,20,.355,-6.66,-0.41,7,13,9,7,2,11,2149,2244,1255,755,1692,.446,217,634,.342,517,730,.708,339,1125,405,204,88,393,502
336,UTSA,30,5,25,.167,-14.21,1.44,1,17,2,12,2,12,2084,2422,1200,846,1895,.446,279,825,.338,451,634,.711,420,1245,471,241,135,325,460
337,Valparaiso,33,18,15,.545,-0.03,0.66,11,9,13,4,4,10,2376,2358,1345,836,1882,.444,221,690,.320,465,652,.713,340,1156,409,165,100,382,629
338,Vanderbilt,34,26,8,.765,22.83,11.68,11,7,13,3,8,4,2936,2557,1370,850,1992,.427,243,755,.322,614,816,.752,386,1189,396,176,84,434,651
339,Vermont,34,22,12,.647,-6.82,-10.20,12,4,13,3,8,7,2496,2330,1375,785,1837,.427,268,761,.352,492,666,.739,255,1061,385,186,85,328,563
340,Villanova,32,24,8,.750,16.30,9.93,15,5,13,3,9,3,2469,2265,1295,827,1837,.450,230,678,.339,381,531,.718,341,1110,444,164,78,403,530
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
341,Virginia,34,29,5,.853,21.60,9.36,15,3,16,1,8,2,2742,2326,1385,795,2011,.395,233,755,.309,503,664,.758,379,1114,400,221,106,359,599
342,Virginia Commonwealth,34,27,7,.794,13.19,3.11,15,3,15,2,7,3,2773,2430,1360,864,2004,.431,230,695,.331,472,663,.712,370,1166,435,213,99,405,682
343,VMI,32,6,26,.188,-20.72,-6.03,1,17,5,9,1,14,2303,2560,1280,899,1937,.464,306,871,.351,456,629,.725,393,1294,564,177,88,353,506
344,Virginia Tech,32,19,13,.594,13.28,9.38,8,10,14,3,3,7,2521,2396,1315,872,1947,.448,236,771,.306,416,560,.743,367,1121,410,175,109,385,576
345,Wagner,31,14,17,.452,-11.79,-8.69,8,10,8,5,6,12,2210,2222,1265,764,1770,.432,216,648,.333,478,667,.717,312,1032,413,226,116,322,504
346,Wake Forest,33,17,16,.515,12.57,10.79,7,11,12,6,2,7,2602,2543,1335,861,1945,.443,301,911,.330,520,705,.738,374,1160,496,207,93,414,599
347,Washington,33,16,17,.485,14.17,10.68,7,13,10,6,4,9,2545,2430,1335,866,1980,.437,254,756,.336,444,614,.723,333,1075,425,187,116,325,539
348,Washington State,32,12,20,.375,3.49,5.10,7,11,9,6,1,11,2435,2480,1280,881,1903,.463,245,697,.352,473,633,.747,304,1032,432,228,94,323,535
349,Weber State,32,16,16,.500,-2.82,-2.59,10,8,11,5,5,10,2598,2474,1295,878,1880,.467,239,749,.319,479,661,.725,286,1050,441,199,135,379,587
350,West Georgia,32,15,17,.469,-10.95,-5.78,8,10,10,5,4,11,2450,2547,1295,903,1948,.464,240,725,.331,501,685,.731,330,1152,458,211,75,339,541
351,West Virginia,32,18,14,.563,12.80,8.37,9,9,15,3,3,6,2214,2072,1295,733,1762,.416,235,672,.350,371,514,.722,315,1061,404,208,112,375,516
352,Western Carolina,31,15,16,.484,-6.41,-3.72,10,8,10,3,4,12,2432,2397,1250,813,1765,.461,275,760,.362,496,677,.733,264,1003,389,189,84,331,478
353,Western Illinois,31,5,26,.161,-23.44,-8.16,1,19,4,11,1,15,2011,2381,1245,864,1822,.474,231,654,.353,422,601,.702,337,1127,434,209,126,322,528
354,Western Kentucky,32,18,14,.563,0.47,-0.47,11,9,12,4,5,7,2537,2436,1290,796,1838,.433,264,780,.338,580,836,.694,344,1199,459,194,143,399,604
355,Western Michigan,31,10,21,.323,-8.32,-2.15,4,14,7,8,3,13,2318,2464,1245,849,1843,.461,287,806,.356,479,686,.698,318,1072,464,207,140,306,536
356,Wichita State,33,22,11,.667,8.72,2.10,13,5,14,3,7,4,2562,2324,1350,823,1955,.421,209,670,.312,469,662,.708,362,1125,360,199,112,361,583
357,William & Mary,32,20,12,.625,-0.06,-2.69,10,8,11,2,6,9,2660,2487,1280,857,1969,.435,293,893,.328,480,679,.707,372,1145,461,234,103,453,669
358,Winthrop,34,23,11,.676,-0.64,-4.42,13,3,13,1,7,9,2844,2566,1365,870,2021,.430,280,871,.321,546,750,.728,334,1195,394,198,126,420,762
359,Wisconsin,34,24,10,.706,19.52,12.44,14,6,15,2,6,4,2822,2581,1380,923,2067,.447,276,830,.333,459,630,.729,335,1182,467,155,125,343,591
360,Wofford,32,19,13,.594,-7.38,-7.18,11,7,10,5,9,7,2520,2468,1285,857,1837,.467,255,703,.363,499,655,.762,304,1091,424,184,100,340,548
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
361,Wright State,34,23,11,.676,0.12,-4.44,15,5,11,5,9,5,2745,2497,1365,897,1963,.457,224,678,.330,479,658,.728,325,1063,403,234,116,407,630
362,Wyoming,32,18,14,.563,7.55,4.07,9,11,14,4,3,9,2467,2335,1280,782,1700,.460,207,631,.328,564,802,.703,283,996,353,183,117,360,590
363,Xavier,33,15,18,.455,7.87,10.15,6,14,12,6,1,10,2586,2661,1330,968,2028,.477,260,748,.348,465,661,.703,337,1248,613,194,126,367,517
364,Yale,30,24,6,.800,6.13,-2.51,11,3,10,2,9,3,2453,2129,1215,762,1757,.434,279,803,.347,326,450,.724,296,924,405,155,102,335,534
365,Youngstown State,32,15,17,.469,-4.44,-4.64,8,12,10,5,4,11,2495,2338,1285,834,1851,.451,216,621,.348,454,613,.741,329,1062,393,227,90,403,533
