ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
42,Campbell,34,16,18,.471,-2.85,-0.10,8,10,10,4,3,13,2691,2639,1360,914,2010,.455,244,740,.330,619,853,.726,425,1216,426,228,62,420,601
43,Canisius,31,10,21,.323,-16.98,-7.85,5,15,7,8,3,13,1951,2184,1245,676,1686,.401,222,670,.331,377,525,.718,320,1037,372,153,80,393,543
44,Central Arkansas,34,22,12,.647,-1.34,-4.66,15,3,14,1,6,10,2749,2541,1385,967,2115,.457,364,1040,.350,451,636,.709,368,1220,553,300,63,369,557
45,Central Connecticut State,30,18,12,.600,-11.33,-9.94,12,6,10,4,8,8,2215,2127,1205,803,1704,.471,219,595,.368,390,507,.769,272,1031,414,168,121,317,411
46,Central Michigan,31,10,21,.323,-8.48,-2.48,6,12,8,5,1,15,2275,2384,1240,837,1791,.467,201,607,.331,400,572,.699,311,1012,469,205,130,392,547
47,Charleston Southern,32,15,17,.469,-6.70,-6.66,6,10,10,4,5,11,2670,2563,1310,942,2060,.457,383,1060,.361,403,623,.647,380,1345,536,155,156,446,694
48,Charlotte,34,17,17,.500,-0.20,1.08,9,9,11,6,4,8,2492,2530,1385,853,1871,.456,296,848,.349,490,684,.716,376,1174,444,156,116,406,573
49,Chattanooga,32,13,19,.406,-10.89,-6.96,7,11,7,8,6,9,2454,2408,1280,859,1865,.461,338,944,.358,398,519,.767,250,1059,488,170,84,307,606
50,Chicago State,32,7,25,.219,-16.28,-4.93,5,13,5,6,2,19,2105,2434,1285,752,1857,.405,185,581,.318,416,561,.742,342,996,375,261,40,335,600
51,Cincinnati,33,18,15,.545,15.50,9.95,9,9,15,3,2,8,2413,2230,1325,859,1993,.431,296,872,.339,399,586,.681,367,1231,547,207,140,389,527
52,Clemson&nbsp;NCAA,34,24,10,.706,16.99,9.57,12,6,13,3,6,5,2521,2269,1370,864,1906,.453,279,818,.341,514,708,.726,316,1166,434,215,96,319,545
53,Cleveland State,33,11,22,.333,-13.07,-3.04,6,14,7,8,3,13,2633,2836,1320,873,1922,.454,357,953,.375,530,704,.753,324,1074,510,186,90,424,630
54,Coastal Carolina,32,19,13,.594,-7.52,-5.78,11,7,8,5,10,7,2346,2323,1310,804,1950,.412,286,844,.339,452,620,.729,339,1283,334,140,106,344,586
55,Colgate,33,18,15,.545,-5.99,-5.38,11,7,9,5,6,10,2522,2462,1350,928,1936,.479,243,677,.359,423,565,.749,292,1125,482,197,100,334,562
