ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
129,Jackson State,33,12,21,.364,-19.48,-5.96,10,8,7,3,4,15,2318,2764,1330,928,2014,.461,278,800,.348,630,843,.747,443,1330,565,262,136,389,599
130,Jacksonville,32,12,20,.375,-10.72,-5.05,7,11,8,4,3,14,2339,2349,1290,812,1732,.469,210,612,.343,515,733,.703,284,986,406,213,82,331,522
131,Jacksonville State,32,15,17,.469,-3.46,-2.80,10,10,10,7,5,8,2325,2188,1290,726,1776,.409,239,759,.315,497,674,.737,309,1070,365,203,101,361,599
132,James Madison,33,18,15,.545,-4.96,-5.24,9,9,11,4,5,10,2460,2437,1330,822,1929,.426,239,735,.325,554,765,.724,356,1140,371,210,117,287,550
133,Kansas&nbsp;NCAA,33,23,10,.697,21.10,14.86,12,6,14,2,5,6,2496,2290,1330,810,2088,.388,269,877,.307,401,578,.694,409,1208,389,217,104,317,529
134,Kansas City,31,4,27,.129,-19.67,-1.92,1,15,3,11,1,15,2149,2600,1245,951,1968,.483,276,759,.364,422,597,.707,380,1241,497,247,113,370,543
135,Kansas State,32,12,20,.375,8.58,10.86,3,15,10,8,1,10,2546,2619,1280,924,2010,.460,261,775,.337,510,707,.721,388,1195,522,237,132,403,498
136,Kennesaw State&nbsp;NCAA,34,21,13,.618,0.13,-2.00,10,10,13,3,4,8,2834,2586,1370,824,2023,.407,255,768,.332,683,918,.744,384,1203,398,264,142,414,684
137,Kent State,33,24,9,.727,-0.10,-2.45,14,4,14,3,7,5,2808,2628,1345,883,2022,.437,299,873,.342,563,781,.721,353,1128,477,231,104,404,690
138,Kentucky&nbsp;NCAA,34,21,13,.618,19.80,12.86,10,8,14,4,4,6,2746,2510,1360,857,2016,.425,252,797,.316,544,745,.730,375,1171,473,225,109,376,615
139,La Salle,32,9,23,.281,-4.10,4.00,5,13,7,6,1,13,2148,2370,1280,852,1833,.465,281,775,.363,385,559,.689,339,1108,520,212,150,366,548
140,Lafayette,32,11,21,.344,-12.84,-6.58,8,10,6,10,5,11,2222,2381,1285,857,1857,.461,255,716,.356,412,559,.737,303,1145,506,174,114,342,555
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
141,Lamar,31,12,19,.387,-5.73,-3.66,7,15,7,8,5,10,2167,2143,1245,721,1661,.434,215,616,.349,486,708,.686,303,1028,414,234,101,369,478
142,Le Moyne,32,15,17,.469,-10.89,-9.31,10,8,9,4,5,12,2336,2341,1280,807,1925,.419,272,759,.358,455,619,.735,347,1126,443,242,97,345,563
143,Lehigh&nbsp;NCAA,34,18,16,.529,-9.32,-7.04,11,7,13,4,4,11,2490,2515,1405,908,2038,.446,214,657,.326,485,644,.753,371,1218,407,279,91,385,583
144,Liberty,32,25,7,.781,2.47,-1.57,17,3,14,2,10,2,2501,2253,1290,832,1842,.452,258,684,.377,331,464,.713,324,1067,384,170,91,359,501
145,Lindenwood,33,18,15,.545,-9.11,-8.44,11,9,9,5,7,9,2566,2398,1320,856,2020,.424,203,665,.305,483,717,.674,395,1216,408,274,126,468,586
146,Lipscomb,32,19,13,.594,-4.18,-4.78,12,6,13,1,6,11,2549,2423,1285,885,1950,.454,264,780,.338,389,546,.712,341,1154,405,209,99,413,491
147,Little Rock,32,12,20,.375,-12.97,-7.71,9,11,7,6,5,13,2257,2372,1280,843,1888,.447,262,757,.346,424,609,.696,404,1169,444,241,75,417,475
148,Long Beach State,32,10,22,.313,-5.51,0.26,6,14,7,9,3,13,2396,2489,1295,854,1816,.470,218,632,.345,563,750,.751,278,1093,447,213,86,418,540
149,Long Island University&nbsp;NCAA,34,24,10,.706,-4.96,-7.93,15,3,14,1,10,9,2519,2418,1365,874,1964,.445,208,652,.319,462,670,.690,389,1129,430,244,112,440,595
