Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
58,Colorado State,33,21,12,.636,8.56,5.03,11,9,12,5,6,5,2510,2347,64.6,110.1,.337,.432,.555,47.9,46.8,10.3,8.4,.527,13.5,28.7,.234
59,Columbia,28,16,12,.571,-2.56,-3.95,5,9,9,5,7,7,2146,2007,67.6,105.2,.328,.363,.534,43.8,58.2,10.0,10.2,.495,13.1,25.9,.243
60,Connecticut,34,29,5,.853,22.92,10.53,17,3,15,2,9,2,2635,2214,66.0,97.9,.402,.362,.505,45.8,48.5,8.8,9.7,.457,15.7,28.7,.289
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coppin State,31,7,24,.226,-24.84,-8.11,5,9,3,6,4,15,2032,2493,69.4,115.4,.420,.435,.588,52.3,62.3,12.8,11.7,.549,15.4,34.4,.312
62,Cornell,28,15,13,.536,-1.67,-2.83,8,6,7,4,8,8,2477,2335,72.1,114.6,.355,.384,.578,48.8,56.8,9.4,9.4,.548,13.6,29.5,.255
63,Creighton,32,15,17,.469,10.57,10.47,9,11,10,6,4,8,2404,2401,68.5,109.1,.246,.320,.535,50.4,50.9,10.2,10.6,.511,12.1,29.7,.173
64,Dartmouth,27,11,16,.407,-8.24,-2.92,5,9,5,8,6,8,2047,2071,69.7,109.5,.289,.397,.543,50.3,51.6,10.5,10.2,.514,12.0,28.1,.206
65,Davidson,33,20,13,.606,4.27,2.76,10,8,11,7,7,4,2367,2225,64.5,103.3,.361,.366,.530,50.3,48.6,9.1,9.2,.496,15.6,29.7,.249
66,Dayton,34,23,11,.676,8.85,4.37,12,6,14,3,6,5,2528,2376,68.1,101.5,.357,.410,.543,50.7,51.0,10.2,11.5,.509,18.5,29.2,.253
67,Delaware,31,10,21,.323,-8.65,-2.45,6,14,5,10,4,10,2098,2293,64.2,112.9,.303,.430,.550,53.1,59.8,11.5,10.3,.512,11.9,30.8,.235
68,Delaware State,31,8,23,.258,-22.55,-10.81,2,12,5,7,2,14,1896,2185,66.5,105.1,.386,.351,.561,52.4,55.3,9.9,10.1,.526,17.4,30.2,.275
69,Denver,32,15,17,.469,-5.76,-2.04,8,8,9,5,6,11,2650,2650,69.5,119.2,.354,.373,.582,50.2,42.8,8.5,7.4,.556,11.3,31.7,.247
70,DePaul,32,16,16,.500,7.45,6.76,8,12,11,7,4,7,2248,2226,67.7,102.7,.378,.339,.532,50.8,57.5,10.8,10.7,.493,16.2,31.1,.270
71,Detroit Mercy,32,17,15,.531,-5.62,-3.19,12,8,9,5,7,9,2471,2475,70.0,110.4,.378,.426,.549,47.9,58.0,8.9,7.8,.513,12.8,30.0,.268
72,Drake,34,14,20,.412,-0.93,1.44,6,14,6,11,4,7,2552,2544,68.1,109.1,.308,.442,.544,50.7,55.4,8.8,8.3,.519,13.1,29.0,.209
73,Drexel,33,17,16,.515,-4.73,-4.48,10,8,12,4,4,9,2247,2221,65.7,102.4,.345,.339,.513,49.1,46.8,11.2,9.3,.468,14.3,30.5,.259
74,Duke,34,32,2,.941,31.55,12.41,17,1,15,0,10,1,2798,2147,67.1,94.1,.237,.457,.491,42.2,51.4,9.4,9.3,.462,15.9,24.8,.170
75,Duquesne,33,18,15,.545,3.38,2.34,9,9,12,6,5,7,2584,2481,69.7,106.2,.382,.399,.556,49.1,54.4,10.1,12.5,.518,16.2,29.3,.279
76,East Carolina,31,11,20,.355,-5.73,0.43,6,12,7,10,4,8,2217,2401,69.3,110.5,.318,.389,.552,49.6,54.0,10.3,8.0,.520,14.0,32.3,.230
77,East Tennessee State,34,23,11,.676,-0.64,-7.33,13,5,13,4,8,6,2638,2356,66.9,102.8,.342,.478,.537,48.8,54.7,8.7,7.5,.502,16.5,28.4,.244
78,East Texas A&M,32,11,21,.344,-11.01,-2.05,6,16,6,8,4,13,2246,2385,69.3,107.5,.346,.375,.546,52.8,55.4,10.4,10.6,.516,15.4,32.0,.241
79,Eastern Illinois,33,13,20,.394,-13.46,-5.83,8,12,9,6,3,13,2214,2321,66.6,104.4,.333,.424,.537,51.9,57.7,9.4,11.3,.499,17.0,33.4,.247
80,Eastern Kentucky,32,11,21,.344,-10.18,-4.58,7,11,8,7,3,13,2568,2619,69.8,115.5,.382,.414,.588,49.7,54.0,10.1,8.6,.556,14.2,31.0,.276
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Eastern Michigan,31,10,21,.323,-5.71,-1.51,4,14,7,7,3,14,2191,2279,68.4,106.6,.353,.353,.535,50.0,50.9,9.5,9.6,.498,13.8,28.8,.253
82,Eastern Washington,33,14,19,.424,-1.98,-0.48,11,7,8,4,5,13,2576,2606,69.1,113.5,.362,.387,.584,49.7,49.1,10.7,7.8,.548,14.3,30.6,.274
83,Elon,32,14,18,.438,-5.48,-3.01,6,12,8,8,6,9,2500,2492,68.1,112.7,.334,.443,.563,49.9,55.8,9.2,10.6,.534,14.3,32.8,.235
84,Evansville,32,7,25,.219,-8.81,3.69,3,17,5,10,1,12,2143,2447,67.5,112.4,.311,.429,.569,53.3,57.6,11.2,7.1,.537,13.7,29.5,.232
85,Fairfield,34,21,13,.618,-8.06,-9.06,11,9,12,4,7,8,2528,2432,67.6,105.4,.298,.358,.540,47.3,52.2,8.5,10.5,.507,15.0,28.6,.220
