Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
272,Siena,34,23,11,.676,-4.34,-9.19,13,7,9,4,9,7,2398,2233,64.3,101.8,.272,.393,.518,47.9,48.3,10.3,9.6,.486,14.8,29.0,.197
273,South Alabama,32,21,11,.656,-4.39,-6.76,11,7,10,4,8,6,2387,2234,66.2,103.4,.242,.647,.521,50.9,70.5,8.2,11.1,.493,15.7,30.1,.176
274,South Carolina,32,13,19,.406,7.62,9.16,4,14,11,8,2,8,2398,2447,68.0,111.2,.340,.358,.548,52.4,57.2,9.3,11.1,.516,12.6,32.1,.243
275,South Carolina State,32,10,22,.313,-21.79,-8.63,7,7,6,5,3,16,2147,2522,70.2,112.3,.501,.378,.577,53.0,57.6,10.8,9.1,.531,16.5,36.3,.367
276,South Carolina Upstate,32,13,19,.406,-10.24,-5.55,5,11,10,5,3,13,2376,2357,70.0,103.7,.348,.365,.529,50.2,44.3,10.3,10.6,.495,14.9,30.4,.242
277,South Dakota,32,16,16,.500,-8.60,-4.88,8,8,12,5,3,10,2547,2566,71.3,110.8,.304,.306,.570,50.0,42.8,9.7,8.9,.541,14.2,29.2,.223
278,South Dakota State,32,14,18,.438,-3.09,-2.95,7,9,9,4,4,9,2413,2331,67.9,106.9,.327,.472,.547,46.5,53.6,9.5,7.4,.512,13.3,24.4,.241
279,South Florida,33,25,8,.758,13.29,2.60,15,3,13,2,9,3,2895,2492,73.1,101.3,.380,.395,.519,46.9,51.3,8.5,13.0,.480,16.4,31.4,.267
280,Southeast Missouri State,33,20,13,.606,-6.85,-7.82,14,6,10,5,8,7,2460,2331,70.5,99.8,.449,.329,.530,49.1,42.8,10.0,9.2,.478,16.6,27.7,.329
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
281,Southeastern Louisiana,31,9,22,.290,-9.31,-2.84,6,16,5,7,2,15,2016,2184,65.8,106.6,.400,.380,.559,51.9,53.6,10.3,9.5,.518,16.9,31.0,.293
282,Southern,34,17,17,.500,-10.98,-6.95,11,7,8,4,7,12,2707,2650,72.5,106.4,.412,.379,.564,49.8,53.5,8.8,9.6,.519,17.5,30.4,.311
283,Southern California,32,18,14,.563,10.58,11.16,7,13,9,7,5,6,2515,2494,71.0,107.6,.330,.406,.541,48.5,54.7,10.3,8.4,.498,14.2,31.5,.256
284,Southern Illinois,32,16,16,.500,3.09,0.86,10,10,8,6,7,8,2336,2226,69.8,98.5,.314,.415,.516,47.8,52.0,9.7,8.3,.485,16.4,27.0,.216
285,SIU Edwardsville,32,19,13,.594,-8.46,-10.25,12,8,10,5,8,7,2271,2070,66.5,96.5,.333,.384,.492,48.8,45.4,10.4,8.3,.452,15.7,30.4,.234
286,Southern Indiana,30,7,23,.233,-16.23,-8.98,4,16,3,10,4,11,2061,2210,68.8,106.2,.354,.274,.528,51.6,40.1,9.6,13.5,.488,14.1,33.3,.259
287,Southern Methodist,33,20,13,.606,17.27,10.66,8,10,15,3,3,8,2779,2561,70.7,108.9,.320,.472,.546,47.5,60.6,9.4,7.6,.514,14.7,31.6,.230
288,Southern Mississippi,35,19,16,.543,-5.39,-4.51,9,9,10,3,4,11,2615,2585,69.9,104.9,.426,.393,.543,47.7,47.2,10.0,10.4,.502,15.4,28.5,.303
289,Southern Utah,32,10,22,.313,-9.19,-0.22,6,12,7,6,2,15,2442,2544,72.0,110.0,.302,.291,.545,50.1,45.4,12.0,9.8,.516,12.9,31.4,.215
290,St. Bonaventure,34,17,17,.500,2.40,1.67,4,14,9,7,4,7,2596,2532,67.4,109.6,.336,.407,.564,47.6,56.0,9.3,8.1,.528,15.2,29.7,.254
291,St. John's (NY),34,28,6,.824,22.42,10.83,18,2,15,2,9,1,2773,2379,71.0,98.2,.318,.337,.510,47.1,47.2,8.7,9.5,.474,16.8,30.2,.228
292,St. Thomas,33,24,9,.727,3.27,-5.30,12,4,14,1,8,6,2728,2366,70.0,102.4,.288,.416,.530,50.3,53.6,7.3,8.0,.495,14.9,26.3,.215
293,Stanford,32,20,12,.625,12.55,9.27,9,9,12,6,5,5,2431,2326,67.9,107.0,.403,.335,.557,49.6,42.7,7.2,9.4,.512,16.0,30.1,.305
294,Stephen F. Austin,33,28,5,.848,4.06,-4.62,20,2,15,1,12,3,2520,2176,66.7,98.9,.297,.348,.511,47.0,46.3,7.7,9.6,.476,15.5,28.1,.214
295,Stetson,33,12,21,.364,-12.70,-4.70,7,11,9,5,2,14,2431,2631,68.5,116.0,.299,.410,.576,51.5,54.2,11.6,7.5,.547,13.0,31.2,.221
296,Stonehill,33,12,21,.364,-14.60,-9.28,8,10,8,5,4,15,2191,2263,67.1,100.7,.304,.332,.501,48.4,43.4,10.8,13.1,.472,12.1,26.2,.203
297,Stony Brook,32,17,15,.531,-5.46,-3.69,9,9,12,4,4,9,2295,2277,67.0,105.0,.342,.396,.531,51.9,53.5,10.0,11.7,.496,15.2,31.9,.243
298,Syracuse,32,15,17,.469,10.28,9.53,6,12,12,6,2,7,2400,2376,67.8,107.4,.326,.359,.537,52.0,53.0,9.9,7.9,.503,14.8,33.6,.235
299,Tarleton State,32,14,18,.438,-4.76,-1.48,5,13,10,6,4,11,2385,2349,71.4,101.6,.467,.403,.562,51.2,54.6,10.0,9.4,.518,21.2,33.3,.339
300,Temple,32,16,16,.500,1.04,-0.76,8,10,10,6,5,6,2366,2264,65.6,107.4,.358,.364,.539,49.9,49.4,8.1,11.3,.504,13.5,29.7,.254
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
301,Tennessee,33,22,11,.667,22.08,11.99,11,7,14,3,5,5,2622,2289,67.3,101.9,.362,.444,.516,41.2,45.4,10.5,9.4,.477,14.2,27.9,.254
302,Tennessee State,32,23,9,.719,-4.54,-8.68,15,5,10,2,10,7,2577,2347,72.0,101.5,.389,.370,.543,47.0,49.9,10.4,7.4,.504,17.8,28.4,.279
303,Tennessee Tech,31,13,18,.419,-13.25,-7.89,8,12,8,6,5,12,2272,2308,69.6,107.0,.300,.366,.537,48.3,51.9,11.1,10.2,.503,13.7,29.9,.221
304,Tennessee-Martin,33,22,11,.667,-5.92,-9.06,13,7,12,3,8,6,2303,2085,66.9,94.0,.341,.402,.488,45.6,54.1,13.4,10.5,.448,17.5,30.2,.236
305,Texas,32,18,14,.563,16.17,10.30,9,9,12,5,4,6,2681,2458,69.2,110.1,.408,.333,.552,44.6,45.5,9.6,10.1,.509,11.9,26.4,.301
306,Texas A&M,32,21,11,.656,16.76,8.60,11,7,14,4,6,5,2807,2546,72.5,107.2,.356,.415,.548,50.1,56.3,8.9,11.5,.508,15.7,32.5,.266
307,Texas A&M-Corpus Christi,33,18,15,.545,-2.48,-1.62,13,9,10,5,7,9,2393,2234,68.2,98.9,.455,.356,.528,47.0,48.4,10.6,10.2,.482,17.5,27.1,.321
308,Texas Christian,33,22,11,.667,15.75,9.51,11,7,14,5,5,5,2584,2378,69.7,102.3,.304,.381,.541,48.1,61.0,8.8,9.9,.510,17.2,29.2,.218
309,Texas Southern,30,12,18,.400,-14.05,-7.98,10,8,9,5,3,12,2251,2339,71.2,107.7,.436,.426,.552,50.0,53.9,11.0,8.0,.512,15.0,30.0,.308
310,Texas State,32,19,13,.594,-7.26,-6.69,11,7,16,1,3,9,2365,2271,67.8,103.4,.389,.378,.545,46.4,43.8,11.5,9.8,.509,16.7,27.8,.274
311,Texas Tech,32,22,10,.688,21.95,14.17,12,6,14,2,5,5,2573,2324,67.9,106.5,.316,.350,.525,48.0,41.5,8.8,7.3,.494,12.7,30.1,.219
312,Texas-Rio Grande Valley,33,19,14,.576,0.93,-2.20,14,8,10,5,8,8,2505,2293,66.6,103.1,.379,.386,.512,49.5,57.8,9.5,9.8,.472,14.0,31.1,.263
313,The Citadel,33,11,22,.333,-16.51,-5.91,7,11,7,8,3,12,2322,2558,65.1,116.9,.323,.436,.586,52.1,51.6,9.1,10.5,.566,13.2,30.7,.220
314,Toledo,34,19,15,.559,0.78,-1.57,11,7,11,4,5,9,2755,2603,69.8,109.6,.256,.398,.556,50.7,51.1,8.8,8.2,.537,15.4,32.7,.174
315,Towson,34,19,15,.559,-0.82,-1.44,9,9,11,3,3,10,2354,2248,64.6,101.9,.282,.417,.509,46.1,46.5,7.6,7.3,.479,13.3,28.2,.196
316,Troy,33,22,11,.667,-0.76,-4.57,12,6,10,3,9,7,2649,2412,68.1,103.4,.317,.383,.525,47.6,49.6,9.8,11.0,.493,15.5,30.9,.222
317,Tulane,33,18,15,.545,-2.50,1.13,8,10,10,8,6,4,2389,2493,68.2,109.9,.377,.399,.543,55.7,55.5,9.0,10.8,.507,14.6,35.4,.268
318,Tulsa,33,26,7,.788,11.14,0.78,13,5,13,2,8,4,2824,2409,68.8,104.9,.306,.405,.526,46.2,49.4,8.9,9.5,.492,13.4,28.1,.221
319,UAB,32,20,12,.625,3.56,-0.24,11,7,8,9,10,2,2535,2361,70.8,102.9,.280,.398,.527,47.6,50.4,8.0,9.8,.496,14.5,27.2,.202
320,UC Davis,33,19,14,.576,-1.09,-1.13,11,9,12,4,6,9,2562,2478,71.9,103.7,.399,.385,.554,51.8,52.1,9.0,9.9,.513,18.0,29.9,.293
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
321,UC Irvine,34,23,11,.676,3.65,-1.42,15,5,12,4,7,5,2632,2327,71.4,94.8,.265,.381,.481,47.6,54.1,9.2,8.5,.447,15.9,30.7,.187
322,UC Riverside,32,10,22,.313,-7.76,-0.30,5,15,7,7,3,15,2334,2492,70.7,110.1,.392,.312,.558,50.6,49.5,9.8,8.4,.524,13.8,29.6,.276
323,UC San Diego,34,23,11,.676,2.32,-1.68,12,8,10,5,8,5,2573,2390,69.8,100.7,.286,.436,.519,49.1,56.2,8.7,10.0,.487,15.0,26.6,.206
324,UC Santa Barbara,32,18,14,.563,1.15,-1.82,11,9,11,4,5,8,2483,2328,67.5,106.1,.406,.355,.560,46.3,48.9,10.3,9.5,.522,15.4,24.7,.293
325,UCF,32,21,11,.656,13.30,10.80,9,9,13,5,5,5,2591,2511,70.6,110.2,.352,.397,.561,47.4,51.3,8.3,9.0,.524,13.9,28.5,.262
326,UCLA,34,23,11,.676,18.28,11.55,13,7,17,1,4,6,2643,2414,65.7,106.9,.347,.447,.545,50.4,63.3,7.3,8.1,.504,15.6,32.4,.261
327,UNC Asheville,32,15,17,.469,-6.17,-3.89,8,8,9,7,4,9,2349,2334,67.8,106.8,.378,.374,.537,49.1,47.8,9.3,7.5,.505,13.8,30.2,.257
328,UNC Greensboro,34,15,19,.441,-11.31,-6.02,9,9,8,6,4,9,2673,2736,69.0,115.3,.295,.464,.573,49.6,50.1,8.5,8.7,.549,11.9,27.9,.209
329,UNC Wilmington,32,26,6,.813,2.50,-5.04,15,3,15,3,11,2,2465,2166,67.0,101.0,.314,.424,.510,45.2,46.7,7.6,7.9,.469,13.4,26.3,.235
330,UT Arlington,32,18,14,.563,-1.74,-1.70,9,9,9,4,8,8,2240,2134,67.3,97.9,.406,.317,.508,46.1,49.1,11.0,8.8,.463,16.1,29.0,.284
331,Utah,32,10,22,.313,6.19,10.94,2,16,8,9,1,10,2379,2531,68.0,115.8,.299,.338,.566,51.0,48.2,8.7,12.0,.539,11.5,31.6,.214
332,Utah State,34,28,6,.824,17.36,6.51,15,5,14,1,7,5,2806,2392,68.5,102.3,.387,.406,.535,48.7,50.0,8.3,9.7,.492,17.8,31.7,.282
333,Utah Tech,34,19,15,.559,-3.56,-1.30,11,7,11,3,6,10,2612,2548,68.9,106.1,.328,.337,.530,51.4,47.7,9.8,7.0,.494,14.9,33.1,.236
334,Utah Valley,33,25,8,.758,5.36,-1.77,14,4,15,0,6,7,2646,2259,69.9,96.8,.380,.343,.517,46.2,52.9,11.5,7.1,.473,18.6,30.4,.274
335,UTEP,31,11,20,.355,-6.66,-0.41,7,13,9,7,2,11,2149,2244,66.8,107.1,.431,.375,.550,52.7,53.6,9.7,8.2,.510,16.2,32.4,.306
336,UTSA,30,5,25,.167,-14.21,1.44,1,17,2,12,2,12,2084,2422,70.2,115.0,.335,.435,.551,53.4,55.7,11.4,12.2,.520,12.9,36.9,.238
337,Valparaiso,33,18,15,.545,-0.03,0.66,11,9,13,4,4,10,2376,2358,66.8,105.8,.346,.367,.538,49.2,48.9,7.4,8.2,.503,14.8,29.9,.247
338,Vanderbilt,34,26,8,.765,22.83,11.68,11,7,13,3,8,4,2936,2557,70.8,105.4,.410,.379,.537,49.7,46.6,7.3,7.1,.488,15.4,31.6,.308
339,Vermont,34,22,12,.647,-6.82,-10.20,12,4,13,3,8,7,2496,2330,64.7,104.7,.363,.414,.541,47.3,49.0,8.4,8.0,.500,13.2,22.4,.268
340,Villanova,32,24,8,.750,16.30,9.93,15,5,13,3,9,3,2469,2265,66.4,105.3,.289,.369,.542,50.2,53.7,7.6,7.5,.513,16.2,31.7,.207
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
341,Virginia,34,29,5,.853,21.60,9.36,15,3,16,1,8,2,2742,2326,66.5,101.0,.330,.375,.500,44.9,50.3,9.6,9.6,.453,13.4,29.2,.250
342,Virginia Commonwealth,34,27,7,.794,13.19,3.11,15,3,15,2,7,3,2773,2430,69.4,103.1,.331,.347,.524,48.3,50.3,9.0,8.9,.489,14.9,29.9,.236
343,VMI,32,6,26,.188,-20.72,-6.03,1,17,5,9,1,14,2303,2560,68.6,116.6,.325,.450,.573,54.9,62.7,8.1,9.9,.543,13.6,34.7,.235
344,Virginia Tech,32,19,13,.594,13.28,9.38,8,10,14,3,3,7,2521,2396,68.0,107.2,.288,.396,.541,50.2,47.0,7.8,9.3,.508,14.8,32.6,.214
345,Wagner,31,14,17,.452,-11.79,-8.69,8,10,8,5,6,12,2210,2222,66.2,106.1,.377,.366,.532,47.2,54.1,10.8,10.1,.493,13.4,28.4,.270
346,Wake Forest,33,17,16,.515,12.57,10.79,7,11,12,6,2,7,2602,2543,69.5,109.6,.362,.468,.558,51.5,57.6,8.9,8.4,.520,15.4,32.9,.267
347,Washington,33,16,17,.485,14.17,10.68,7,13,10,6,4,9,2545,2430,68.0,107.1,.310,.382,.535,46.7,49.1,8.2,8.7,.502,12.5,28.5,.224
348,Washington State,32,12,20,.375,3.49,5.10,7,11,9,6,1,11,2435,2480,69.2,112.0,.333,.366,.563,48.5,49.0,10.3,9.3,.527,12.8,28.0,.249
349,Weber State,32,16,16,.500,-2.82,-2.59,10,8,11,5,5,10,2598,2474,70.7,108.2,.352,.398,.564,47.0,50.2,8.7,10.3,.531,14.7,26.0,.255
350,West Georgia,32,15,17,.469,-10.95,-5.78,8,10,10,5,4,11,2450,2547,70.5,111.6,.352,.372,.560,49.3,50.7,9.2,5.6,.525,13.0,29.2,.257
351,West Virginia,32,18,14,.563,12.80,8.37,9,9,15,3,3,6,2214,2072,64.0,100.0,.292,.381,.516,49.0,55.1,10.0,11.2,.483,15.7,29.0,.211
352,Western Carolina,31,15,16,.484,-6.41,-3.72,10,8,10,3,4,12,2432,2397,69.1,111.0,.384,.431,.574,45.4,47.8,8.8,7.3,.539,13.7,25.4,.281
353,Western Illinois,31,5,26,.161,-23.44,-8.16,1,19,4,11,1,15,2011,2381,67.2,113.9,.330,.359,.565,53.3,50.2,10.0,10.8,.538,13.3,33.6,.232
354,Western Kentucky,32,18,14,.563,0.47,-0.47,11,9,12,4,5,7,2537,2436,71.1,106.2,.455,.424,.545,49.1,57.7,8.5,12.0,.505,15.1,29.2,.316
355,Western Michigan,31,10,21,.323,-8.32,-2.15,4,14,7,8,3,13,2318,2464,69.7,113.6,.372,.437,.568,48.8,54.7,9.5,11.6,.539,12.4,28.9,.260
356,Wichita State,33,22,11,.667,8.72,2.10,13,5,14,3,7,4,2562,2324,67.1,102.7,.339,.343,.512,45.4,43.7,8.8,8.3,.474,13.7,29.4,.240
357,William & Mary,32,20,12,.625,-0.06,-2.69,10,8,11,2,6,9,2660,2487,73.9,105.2,.345,.454,.543,50.6,53.8,9.9,9.6,.510,16.5,30.9,.244
358,Winthrop,34,23,11,.676,-0.64,-4.42,13,3,13,1,7,9,2844,2566,72.1,104.3,.371,.431,.540,46.0,45.3,8.0,10.7,.500,15.0,26.4,.270
359,Wisconsin,34,24,10,.706,19.52,12.44,14,6,15,2,6,4,2822,2581,68.8,108.7,.305,.402,.545,49.5,50.6,6.5,12.5,.513,12.7,28.2,.222
360,Wofford,32,19,13,.594,-7.38,-7.18,11,7,10,5,9,7,2520,2468,68.1,112.8,.357,.383,.574,49.5,49.5,8.4,9.3,.536,13.7,28.5,.272
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
361,Wright State,34,23,11,.676,0.12,-4.44,15,5,11,5,9,5,2745,2497,69.0,106.0,.335,.345,.549,46.9,44.9,9.9,8.7,.514,15.2,28.4,.244
362,Wyoming,32,18,14,.563,7.55,4.07,9,11,14,4,3,9,2467,2335,67.6,108.0,.472,.371,.561,46.7,45.1,8.5,10.8,.521,14.7,27.4,.332
363,Xavier,33,15,18,.455,7.87,10.15,6,14,12,6,1,10,2586,2661,71.2,112.4,.326,.369,.568,52.4,63.3,8.2,10.2,.541,13.5,29.5,.229
364,Yale,30,24,6,.800,6.13,-2.51,11,3,10,2,9,3,2453,2129,66.1,106.1,.256,.457,.540,46.7,53.1,7.7,9.1,.513,14.5,28.6,.186
365,Youngstown State,32,15,17,.469,-4.44,-4.64,8,12,10,5,4,11,2495,2338,69.0,105.4,.331,.335,.546,49.0,47.1,10.2,9.4,.509,15.8,30.2,.245
