rank,team,wins,losses,sos,power_rating
297,Houston Christian,12,20,69.96,65.17
298,Loyola Maryland,12,20,67.26,65.07
299,South Carolina Upstate,13,19,64.90,64.99
300,Morehead St.,20,13,64.92,64.92
301,Northern Arizona,10,22,69.70,64.82
302,Tennessee Tech,13,18,65.29,64.76
303,Presbyterian College,15,18,64.52,64.59
304,Denver,15,17,64.94,64.42
305,Sacramento St.,10,21,68.76,64.41
306,Georgia St.,10,22,68.13,64.10
307,North Carolina Greensboro,15,19,65.68,64.04
308,Manhattan,12,20,67.78,63.96
309,Louisiana-Lafayette,11,22,70.57,63.94
310,Lafayette,11,21,68.70,63.92
311,New Haven,14,17,64.97,63.91
312,Cleveland St.,11,22,69.76,63.86
313,Stetson,12,21,69.11,63.61
314,Oral Roberts,10,23,67.50,63.56
315,IUPUI,7,25,68.21,63.52
316,Grambling St.,14,19,63.63,63.49
317,North Dakota,18,17,64.49,63.46
318,Texas San Antonio,5,25,73.37,63.40
319,Mass-Lowell,15,18,65.01,63.27
320,Arkansas Little Rock,12,20,66.38,63.16
321,Texas Southern,12,18,65.44,63.04
322,New Hampshire,9,21,67.95,62.95
323,Alabama St.,10,22,67.00,62.84
324,Stonehill,12,21,64.86,62.73
325,Bucknell,10,23,70.31,62.71
326,Northern Illinois,9,21,70.19,62.49
327,Wagner,14,17,62.94,62.44
328,Eastern Illinois,13,20,64.76,62.42
329,Canisius,10,21,68.95,62.22
330,North Alabama,9,21,69.85,62.22
331,Alabama A&M,18,15,62.51,62.08
332,Army,11,21,66.42,61.93
333,Nebraska Omaha,16,17,62.70,61.89
334,South Dakota,16,16,62.84,61.87
335,Holy Cross,11,22,66.32,61.76
336,Florida A&M,15,16,66.26,61.70
337,N.J. Tech,16,17,66.50,61.49
338,Arkansas-Pine Bluff,13,19,64.52,61.41
339,Fairleigh Dickinson,11,21,64.21,61.32
340,Southern Indiana,7,23,65.31,60.35
341,Niagara,8,22,66.78,60.32
342,Cal State Bakersfield,8,24,69.11,60.30
343,Norfolk St.,15,17,58.23,60.29
344,Chicago St.,7,25,68.80,59.86
345,Maryland Eastern Shore,9,23,64.29,59.85
346,Air Force,3,29,76.60,59.65
347,Maine,8,24,64.89,59.47
348,Rider,4,25,70.29,58.98
349,Citadel,11,22,65.32,58.84
350,Louisiana Monroe,4,28,69.08,58.74
351,St. Francis PA.,7,24,66.80,58.51
352,Bryant,9,22,65.41,58.25
353,VMI,6,26,65.69,58.22
354,Alcorn St.,9,23,68.59,58.16
355,Binghamton,8,23,64.08,58.14
356,North Carolina Central,14,18,61.25,57.87
357,Jackson St.,12,21,68.56,57.76
358,Morgan St.,14,16,58.46,55.81
359,Western Illinois,5,26,64.30,53.85
360,Coppin St.,7,24,65.82,53.33
361,Gardner-Webb,4,29,67.86,52.38
362,Missouri Kansas City,4,27,65.34,51.87
363,South Carolina St.,10,22,61.12,51.25
364,Delaware St.,8,23,58.40,50.63
365,Mississippi Valley St.,3,30,67.30,50.57
