Rank,School,Conf,AP_Rank,W,L,Pts,Opp_Pts,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
60,Stanford,ACC,,20,12,76.0,72.7,3.28,9.27,6.06,6.49,12.55,117.81,101.13,16.68
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
61,Boise State,MWC,,20,12,78.2,73.5,4.72,7.84,6.38,5.66,12.04,118.61,101.86,16.75
62,Oklahoma State,Big 12,,19,14,84.3,82.9,1.36,10.57,14.01,-2.08,11.93,118.57,103.25,15.33
63,California,ACC,,21,11,77.9,73.3,4.63,7.61,5.90,5.78,11.67,114.29,98.79,15.51
64,Florida State,ACC,,18,15,80.4,77.9,2.42,9.24,10.01,1.66,11.66,118.01,102.13,15.88
65,Tulsa,American,,26,7,85.6,73.0,12.58,0.78,10.26,0.88,11.14,121.48,106.34,15.14
66,Mississippi,SEC,,15,20,75.9,76.1,-0.23,11.36,4.02,7.11,11.13,113.81,98.98,14.82
67,Grand Canyon,MWC,,20,12,75.6,68.7,6.97,4.06,2.67,8.36,11.03,111.98,96.90,15.08
68,Colorado,Big 12,,17,15,80.0,79.4,0.53,10.36,9.60,1.29,10.89,119.12,104.78,14.34
69,Providence,Big East,,15,18,85.3,84.0,1.30,9.53,15.83,-4.99,10.84,121.04,106.44,14.60
70,Arizona State,Big 12,,17,16,76.3,78.3,-2.00,12.79,6.96,3.83,10.79,114.88,100.08,14.80
71,Southern California,Big Ten,,18,14,78.6,77.9,0.66,11.16,8.76,1.82,10.58,113.90,99.73,14.16
72,Creighton,Big East,,15,17,75.1,75.0,0.09,10.47,5.70,4.86,10.57,116.76,102.90,13.86
73,Butler,Big East,,16,16,79.4,77.5,1.84,8.63,8.81,1.67,10.47,116.18,102.93,13.24
74,Minnesota,Big Ten,,15,17,70.0,68.5,1.50,8.95,-0.44,10.89,10.45,114.05,100.02,14.03
75,Syracuse,ACC,,15,17,75.0,74.3,0.75,9.53,6.04,4.24,10.28,114.78,101.19,13.59
76,Nevada,MWC,,22,12,75.9,71.6,4.35,5.81,4.62,5.55,10.17,116.04,101.74,14.30
77,Georgetown,Big East,,16,18,73.6,72.9,0.71,8.51,3.67,5.55,9.22,114.57,102.47,12.10
78,Marquette,Big East,,12,20,75.2,75.8,-0.63,9.84,5.09,4.13,9.22,111.39,98.85,12.54
79,George Washington,A-10,,18,15,82.1,73.7,8.33,2.24,8.85,0.21,9.05,117.71,106.10,11.61
80,Notre Dame,ACC,,13,18,74.5,75.3,-0.87,9.93,4.99,4.07,9.05,115.59,103.51,12.08
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
81,Akron,MAC,,29,5,88.4,73.5,14.85,-3.33,9.80,-0.76,9.04,117.69,106.22,11.47
82,Belmont,MVC,,26,6,83.9,73.3,10.53,-0.41,9.17,-0.22,8.95,118.92,106.90,12.02
83,Oregon,Big Ten,,12,20,70.8,73.9,-3.09,12.04,2.12,6.83,8.95,113.19,102.08,11.12
84,Dayton,A-10,,23,11,74.4,69.9,4.47,4.37,1.51,7.33,8.85,110.64,98.47,12.17
85,Wichita State,American,,22,11,77.6,70.4,7.21,2.10,3.01,5.71,8.72,111.43,99.82,11.61
86,Kansas State,Big 12,,12,20,79.6,81.8,-2.28,10.86,9.84,-1.26,8.58,114.41,103.26,11.15
87,Pittsburgh,ACC,,13,20,70.5,71.8,-1.30,9.88,0.47,8.11,8.58,113.81,103.25,10.56
88,Colorado State,MWC,,21,12,76.1,71.1,4.94,5.03,2.29,6.28,8.56,120.16,108.65,11.50
89,Northern Iowa,MVC,,23,12,69.9,61.3,8.66,1.49,-5.00,13.50,8.49,109.41,97.09,12.32
90,Xavier,Big East,,15,18,78.4,80.6,-2.27,10.15,9.42,-1.55,7.87,116.31,106.17,10.15
91,McNeese,Southland,,28,5,80.0,66.5,13.58,-2.06,2.53,5.22,7.74,113.49,102.49,11.00
92,South Carolina,SEC,,13,19,74.9,76.5,-1.53,9.16,2.56,5.06,7.62,112.88,103.22,9.66
93,Wyoming,MWC,,18,14,77.1,73.0,4.13,4.07,3.23,4.32,7.55,114.94,105.36,9.58
94,DePaul,Big East,,16,16,70.3,69.6,0.69,6.76,-1.64,9.10,7.45,107.86,98.40,9.46
95,Mississippi State,SEC,,13,19,77.6,81.8,-4.19,11.46,6.44,0.83,7.27,113.00,103.39,9.60
96,High Point,Big South,,30,4,90.0,70.3,19.71,-7.89,8.32,-1.56,6.76,115.76,107.14,8.62
97,George Mason,A-10,,23,9,73.3,67.5,5.84,1.19,-1.79,8.24,6.45,111.66,103.18,8.47
98,Illinois State,MVC,,20,12,75.1,68.4,6.69,0.85,0.19,6.11,6.30,110.54,102.28,8.26
99,Utah,Big 12,,10,22,74.3,79.1,-4.75,10.94,4.19,2.00,6.19,115.10,107.46,7.64
100,Yale,Ivy,,24,6,81.8,71.0,10.80,-2.51,4.41,1.72,6.13,118.21,110.11,8.10
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
101,Nevada-Las Vegas,MWC,,17,16,79.4,78.6,0.82,6.10,7.88,-2.25,5.63,114.56,106.90,7.66
102,Miami (OH),MAC,20,31,1,90.7,75.3,15.41,-5.49,9.00,-3.63,5.37,114.63,108.52,6.11
103,Utah Valley,WAC,,25,8,80.2,68.5,11.73,-1.77,3.46,1.90,5.36,110.55,103.25,7.30
104,Rutgers,Big Ten,,14,19,70.6,75.1,-4.55,9.46,1.76,3.16,4.91,110.26,104.64,5.62
105,Hawaii,Big West,,24,8,79.6,69.7,9.91,-3.59,1.26,3.59,4.85,106.38,100.24,6.14
106,Maryland,Big Ten,,12,21,69.7,76.6,-6.88,11.68,0.83,3.98,4.80,110.62,105.03,5.59
107,Hofstra,CAA,,24,10,75.6,66.1,9.56,-2.46,-0.47,4.94,4.48,111.57,105.14,6.43
108,Seattle,WCC,,20,13,71.9,67.0,4.91,2.71,-3.77,8.19,4.42,102.09,96.34,5.76
109,San Francisco,WCC,,17,16,74.7,73.2,1.52,4.23,1.78,2.61,4.39,112.02,106.40,5.62
110,Pacific,WCC,,18,15,72.7,68.8,3.88,2.83,-2.15,6.49,4.34,109.86,104.07,5.80
111,Davidson,A-10,,20,13,71.7,67.4,4.30,2.76,-2.59,6.86,4.27,109.65,103.85,5.80
112,Stephen F. Austin,Southland,,28,5,76.4,65.9,10.42,-4.62,-0.65,4.71,4.06,109.91,104.46,5.45
113,Penn State,Big Ten,,12,20,73.7,79.3,-5.66,9.64,4.14,-0.16,3.98,115.56,110.73,4.83
114,Memphis,American,,13,19,75.2,76.7,-1.47,5.42,2.37,1.58,3.95,107.20,102.30,4.90
